step,x,y,z,energy
0,0.0,0.0,0.0,-0.6051692936038192
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.6380782992087696
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.1173619104777386
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.8179606862902459
4,4.444444444444445,4.444444444444445,4.444444444444445,0.1804029698581115
5,5.555555555555555,5.555555555555555,5.555555555555555,0.1267789328494224
6,6.666666666666667,6.666666666666667,6.666666666666667,-1.6258054480322268
7,7.777777777777779,7.777777777777779,7.777777777777779,0.3164797447311871
8,8.88888888888889,8.88888888888889,8.88888888888889,1.1651480490480044
9,10.0,10.0,10.0,0.36594552728333896
