step,x,y,z,energy
0,0.0,0.0,0.0,-0.6976819378674699
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.3975923288715167
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.157069779682788
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.33459840292453924
4,4.444444444444445,4.444444444444445,4.444444444444445,0.060695128783914705
5,5.555555555555555,5.555555555555555,5.555555555555555,3.5741424831426722
6,6.666666666666667,6.666666666666667,6.666666666666667,0.11450804640461305
7,7.777777777777779,7.777777777777779,7.777777777777779,1.038588788094859
8,8.88888888888889,8.88888888888889,8.88888888888889,0.3677727373055853
9,10.0,10.0,10.0,-1.187149410584532
